State,North Latitude,West Longitude
Alabama,33° 00′ 05″,86° 45′ 58″
Alaska,61° 17′ 18″,148° 43′ 01″
Arizona,33° 22′ 25″,111° 49′ 43″
Arkansas,35° 04′ 49″,92° 34′ 37″
California,35° 27′ 31″,119° 21′ 19″
Colorado,39° 30′ 02″,105° 12′ 13″
Connecticut,41° 29′ 41″,72° 52′ 28″
Delaware,39° 23′ 50″,75° 33′ 43″
District of Columbia,38° 54′ 36″,77° 00′ 50″
Florida,27° 47′ 45″,81° 38′ 05″
Georgia,33° 19′ 56″,83° 52′ 08″
Hawaii,21° 08′ 48″,157° 31′ 28″
Idaho,44° 14′ 33″,115° 07′ 60″
Illinois,41° 16′ 42″,88° 22′ 49″
Indiana,40° 09′ 50″,86° 15′ 41″
Iowa,41° 57′ 37″,93° 02′ 57″
Kansas,38° 27′ 15″,96° 32′ 10″
Kentucky,37° 48′ 29″,85° 14′ 31″
Louisiana,30° 41′ 57″,91° 27′ 26″
Maine,44° 18′ 49″,69° 43′ 12″
Maryland,39° 08′ 44″,76° 47′ 51″
Massachusetts,42° 16′ 19″,71° 21′ 49″
Michigan,42° 51′ 59″,84° 10′ 15″
Minnesota,45° 12′ 39″,93° 34′ 59″
Mississippi,32° 33′ 59″,89° 35′ 35″
Missouri,38° 26′ 16″,92° 09′ 14″
Montana,46° 48′ 48″,111° 12′ 35″
Nebraska,41° 11′ 02″,97° 24′ 14″
Nevada,37° 09′ 57″,116° 18′ 17″
New Hampshire,43° 09′ 11″,71° 27′ 48″
New Jersey,40° 26′ 18″,74° 25′ 41″
New Mexico,34° 37′ 23″,106° 20′ 32″
New York,41° 30′ 27″,74° 38′ 43″
North Carolina,35° 33′ 12″,79° 40′ 04″
North Dakota,47° 22′ 31″,99° 20′ 05″
Ohio,40° 28′ 51″,82° 44′ 58″
Oklahoma,35° 35′ 53″,96° 50′ 05″
Oregon,44° 43′ 56″,122° 34′ 46″
Pennsylvania,40° 27′ 49″,77° 04′ 33″
Rhode Island,41° 45′ 12″,71° 26′ 56″
South Carolina,34° 02′ 04″,81° 01′ 57″
South Dakota,44° 02′ 51″,99° 02′ 38″
Tennessee,35° 47′ 45″,86° 23′ 52″
Texas,30° 56′ 35″,97° 23′ 19″
Utah,40° 26′ 20″,111° 54′ 01″
Vermont,44° 04′ 52″,72° 48′ 52″
Virginia,37° 45′ 01″,77° 50′ 09″
Washington,47° 20′ 30″,121° 37′ 28″
West Virginia,38° 46′ 02″,80° 49′ 13″
Wisconsin,43° 43′ 43″,89° 00′ 04″
Wyoming,42° 40′ 33″,107° 00′ 32″
