state,n_lat_m_s,w_lon_m_s,lat,lon,lat_dec,lon_dec
Alabama,33° 00′ 29″,86° 45′ 25″,"33d00' 29""N","86d45' 25""W",33.00805555555556,-86.75694444444444
Alaska,61° 23′ 60″,148° 52′ 26″,"61d23' 60""N","148d52' 26""W",61.4,-148.8738888888889
Arizona,33° 22′ 06″,111° 51′ 52″,"33d22' 06""N","111d51' 52""W",33.36833333333333,-111.86444444444444
Arkansas,35° 08′ 33″,92° 39′ 19″,"35d08' 33""N","92d39' 19""W",35.1425,-92.65527777777778
California,35° 27′ 49″,119° 19′ 31″,"35d27' 49""N","119d19' 31""W",35.46361111111111,-119.32527777777777
Colorado,39° 30′ 48″,105° 12′ 29″,"39d30' 48""N","105d12' 29""W",39.513333333333335,-105.20805555555556
Connecticut,41° 29′ 49″,72° 52′ 13″,"41d29' 49""N","72d52' 13""W",41.496944444444445,-72.87027777777777
Delaware,39° 21′ 32″,75° 33′ 25″,"39d21' 32""N","75d33' 25""W",39.35888888888889,-75.55694444444444
District of Columbia,38° 54′ 37″,77° 00′ 52″,"38d54' 37""N","77d00' 52""W",38.91027777777778,-77.01444444444445
Florida,27° 49′ 22″,81° 38′ 05″,"27d49' 22""N","81d38' 05""W",27.822777777777777,-81.63472222222222
Georgia,33° 22′ 37″,83° 52′ 58″,"33d22' 37""N","83d52' 58""W",33.37694444444445,-83.88277777777778
Hawaii,21° 06′ 55″,157° 29′ 04″,"21d06' 55""N","157d29' 04""W",21.11527777777778,-157.48444444444442
Idaho,44° 13′ 07″,115° 10′ 43″,"44d13' 07""N","115d10' 43""W",44.218611111111116,-115.17861111111111
Illinois,41° 17′ 12″,88° 23′ 25″,"41d17' 12""N","88d23' 25""W",41.28666666666666,-88.39027777777778
Indiana,40° 08′ 57″,86° 15′ 34″,"40d08' 57""N","86d15' 34""W",40.149166666666666,-86.25944444444444
Iowa,41° 56′ 46″,93° 02′ 12″,"41d56' 46""N","93d02' 12""W",41.94611111111111,-93.03666666666666
Kansas,38° 27′ 54″,96° 27′ 46″,"38d27' 54""N","96d27' 46""W",38.465,-96.46277777777777
Kentucky,37° 49′ 28″,85° 14′ 54″,"37d49' 28""N","85d14' 54""W",37.824444444444445,-85.24833333333333
Louisiana,30° 43′ 22″,91° 30′ 32″,"30d43' 22""N","91d30' 32""W",30.722777777777775,-91.50888888888889
Maine,44° 17′ 60″,69° 44′ 11″,"44d17' 60""N","69d44' 11""W",44.3,-69.7363888888889
Maryland,39° 08′ 27″,76° 47′ 52″,"39d08' 27""N","76d47' 52""W",39.14083333333333,-76.79777777777778
Massachusetts,42° 16′ 20″,71° 21′ 48″,"42d16' 20""N","71d21' 48""W",42.27222222222222,-71.36333333333333
Michigan,42° 52′ 23″,84° 12′ 12″,"42d52' 23""N","84d12' 12""W",42.87305555555555,-84.20333333333333
Minnesota,45° 12′ 13″,93° 34′ 19″,"45d12' 13""N","93d34' 19""W",45.203611111111115,-93.57194444444444
Mississippi,32° 35′ 27″,89° 34′ 46″,"32d35' 27""N","89d34' 46""W",32.590833333333336,-89.57944444444443
Missouri,38° 25′ 26″,92° 11′ 54″,"38d25' 26""N","92d11' 54""W",38.42388888888889,-92.19833333333334
Montana,46° 47′ 13″,111° 17′ 46″,"46d47' 13""N","111d17' 46""W",46.786944444444444,-111.2961111111111
Nebraska,41° 10′ 27″,97° 18′ 56″,"41d10' 27""N","97d18' 56""W",41.174166666666665,-97.31555555555555
Nevada,37° 02′ 37″,116° 11′ 30″,"37d02' 37""N","116d11' 30""W",37.04361111111111,-116.19166666666668
New Hampshire,43° 09′ 17″,71° 27′ 43″,"43d09' 17""N","71d27' 43""W",43.15472222222222,-71.46194444444444
New Jersey,40° 25′ 55″,74° 25′ 56″,"40d25' 55""N","74d25' 56""W",40.43194444444444,-74.43222222222222
New Mexico,34° 37′ 58″,106° 21′ 16″,"34d37' 58""N","106d21' 16""W",34.632777777777775,-106.35444444444444
New York,41° 30′ 05″,74° 37′ 15″,"41d30' 05""N","74d37' 15""W",41.50138888888889,-74.62083333333332
North Carolina,35° 32′ 35″,79° 39′ 30″,"35d32' 35""N","79d39' 30""W",35.543055555555554,-79.65833333333335
North Dakota,47° 20′ 54″,99° 18′ 34″,"47d20' 54""N","99d18' 34""W",47.348333333333336,-99.30944444444444
Ohio,40° 27′ 19″,82° 46′ 24″,"40d27' 19""N","82d46' 24""W",40.45527777777778,-82.77333333333333
Oklahoma,35° 35′ 54″,96° 50′ 12″,"35d35' 54""N","96d50' 12""W",35.598333333333336,-96.83666666666666
Oregon,44° 44′ 36″,122° 35′ 07″,"44d44' 36""N","122d35' 07""W",44.74333333333333,-122.58527777777778
Pennsylvania,40° 27′ 24″,77° 00′ 35″,"40d27' 24""N","77d00' 35""W",40.45666666666667,-77.00972222222222
Rhode Island,41° 45′ 13″,71° 27′ 03″,"41d45' 13""N","71d27' 03""W",41.75361111111111,-71.45083333333334
South Carolina,34° 01′ 31″,81° 00′ 40″,"34d01' 31""N","81d00' 40""W",34.025277777777774,-81.0111111111111
South Dakota,44° 00′ 52″,99° 00′ 08″,"44d00' 52""N","99d00' 08""W",44.01444444444444,-99.00222222222222
Tennessee,35° 48′ 29″,86° 21′ 33″,"35d48' 29""N","86d21' 33""W",35.808055555555555,-86.35916666666667
Texas,30° 54′ 19″,97° 21′ 56″,"30d54' 19""N","97d21' 56""W",30.905277777777776,-97.36555555555555
Utah,40° 24′ 05″,111° 55′ 37″,"40d24' 05""N","111d55' 37""W",40.40138888888889,-111.92694444444444
Vermont,44° 05′ 42″,72° 48′ 59″,"44d05' 42""N","72d48' 59""W",44.095,-72.81638888888888
Virginia,37° 48′ 37″,77° 48′ 40″,"37d48' 37""N","77d48' 40""W",37.81027777777778,-77.8111111111111
Washington,47° 19′ 51″,121° 37′ 12″,"47d19' 51""N","121d37' 12""W",47.33083333333334,-121.61999999999999
West Virginia,38° 47′ 44″,80° 43′ 53″,"38d47' 44""N","80d43' 53""W",38.79555555555555,-80.73138888888889
Wisconsin,43° 43′ 19″,89° 01′ 08″,"43d43' 19""N","89d01' 08""W",43.721944444444446,-89.01888888888888
Wyoming,42° 41′ 49″,107° 01′ 09″,"42d41' 49""N","107d01' 09""W",42.69694444444444,-107.01916666666666
