state,n_lat_m_s,w_lon_m_s,lat,lon,lat_dec,lon_dec
Alabama,32° 59′ 48″,86° 46′ 27″,"32d59' 48""N","86d46' 27""W",32.99666666666667,-86.77416666666666
Alaska,61° 11′ 51″,148° 43′ 57″,"61d11' 51""N","148d43' 57""W",61.1975,-148.73250000000002
Arizona,33° 21′ 08″,111° 46′ 13″,"33d21' 08""N","111d46' 13""W",33.352222222222224,-111.77027777777778
Arkansas,35° 00′ 40″,92° 29′ 15″,"35d00' 40""N","92d29' 15""W",35.01111111111111,-92.4875
California,35° 26′ 35″,119° 21′ 44″,"35d26' 35""N","119d21' 44""W",35.44305555555555,-119.36222222222221
Colorado,39° 29′ 34″,105° 11′ 18″,"39d29' 34""N","105d11' 18""W",39.49277777777778,-105.18833333333333
Connecticut,41° 29′ 49″,72° 52′ 10″,"41d29' 49""N","72d52' 10""W",41.496944444444445,-72.86944444444444
Delaware,39° 26′ 01″,75° 33′ 59″,"39d26' 01""N","75d33' 59""W",39.433611111111105,-75.56638888888888
District of Columbia,38° 54′ 31″,77° 00′ 43″,"38d54' 31""N","77d00' 43""W",38.90861111111111,-77.01194444444444
Florida,27° 47′ 60″,81° 39′ 10″,"27d47' 60""N","81d39' 10""W",27.8,-81.65277777777779
Georgia,33° 15′ 35″,83° 50′ 00″,"33d15' 35""N","83d50' 00""W",33.25972222222222,-83.83333333333333
Hawaii,21° 10′ 34″,157° 34′ 14″,"21d10' 34""N","157d34' 14""W",21.176111111111112,-157.57055555555556
Idaho,44° 12′ 15″,114° 58′ 14″,"44d12' 15""N","114d58' 14""W",44.20416666666667,-114.97055555555556
Illinois,41° 14′ 03″,88° 23′ 46″,"41d14' 03""N","88d23' 46""W",41.23416666666667,-88.39611111111111
Indiana,40° 10′ 06″,86° 16′ 15″,"40d10' 06""N","86d16' 15""W",40.16833333333333,-86.27083333333333
Iowa,41° 58′ 18″,93° 03′ 16″,"41d58' 18""N","93d03' 16""W",41.97166666666667,-93.05444444444444
Kansas,38° 27′ 29″,96° 34′ 60″,"38d27' 29""N","96d34' 60""W",38.45805555555556,-96.58333333333333
Kentucky,37° 47′ 51″,85° 14′ 21″,"37d47' 51""N","85d14' 21""W",37.7975,-85.23916666666666
Louisiana,30° 42′ 33″,91° 27′ 53″,"30d42' 33""N","91d27' 53""W",30.709166666666665,-91.46472222222222
Maine,44° 22′ 15″,69° 40′ 29″,"44d22' 15""N","69d40' 29""W",44.37083333333334,-69.67472222222223
Maryland,39° 09′ 03″,76° 47′ 43″,"39d09' 03""N","76d47' 43""W",39.15083333333333,-76.79527777777777
Massachusetts,42° 16′ 29″,71° 22′ 41″,"42d16' 29""N","71d22' 41""W",42.27472222222222,-71.37805555555555
Michigan,42° 51′ 13″,84° 08′ 37″,"42d51' 13""N","84d08' 37""W",42.853611111111114,-84.14361111111111
Minnesota,45° 13′ 18″,93° 36′ 31″,"45d13' 18""N","93d36' 31""W",45.22166666666667,-93.6086111111111
Mississippi,32° 33′ 46″,89° 36′ 34″,"32d33' 46""N","89d36' 34""W",32.562777777777775,-89.60944444444443
Missouri,38° 27′ 47″,92° 05′ 59″,"38d27' 47""N","92d05' 59""W",38.463055555555556,-92.09972222222221
Montana,46° 50′ 25″,111° 01′ 35″,"46d50' 25""N","111d01' 35""W",46.84027777777778,-111.02638888888889
Nebraska,41° 11′ 29″,97° 28′ 30″,"41d11' 29""N","97d28' 30""W",41.19138888888889,-97.47500000000001
Nevada,37° 25′ 14″,116° 34′ 24″,"37d25' 14""N","116d34' 24""W",37.42055555555555,-116.57333333333332
New Hampshire,43° 09′ 42″,71° 27′ 55″,"43d09' 42""N","71d27' 55""W",43.16166666666666,-71.46527777777779
New Jersey,40° 26′ 25″,74° 25′ 46″,"40d26' 25""N","74d25' 46""W",40.44027777777777,-74.42944444444444
New Mexico,34° 36′ 42″,106° 16′ 47″,"34d36' 42""N","106d16' 47""W",34.611666666666665,-106.27972222222222
New York,41° 32′ 37″,74° 41′ 38″,"41d32' 37""N","74d41' 38""W",41.54361111111111,-74.69388888888889
North Carolina,35° 33′ 31″,79° 39′ 17″,"35d33' 31""N","79d39' 17""W",35.558611111111105,-79.65472222222223
North Dakota,47° 24′ 50″,99° 24′ 56″,"47d24' 50""N","99d24' 56""W",47.413888888888884,-99.41555555555556
Ohio,40° 29′ 46″,82° 44′ 18″,"40d29' 46""N","82d44' 18""W",40.49611111111111,-82.73833333333333
Oklahoma,35° 35′ 22″,96° 51′ 53″,"35d35' 22""N","96d51' 53""W",35.589444444444446,-96.86472222222221
Oregon,44° 42′ 55″,122° 35′ 04″,"44d42' 55""N","122d35' 04""W",44.71527777777778,-122.58444444444444
Pennsylvania,40° 27′ 52″,77° 07′ 20″,"40d27' 52""N","77d07' 20""W",40.464444444444446,-77.12222222222222
Rhode Island,41° 45′ 16″,71° 26′ 47″,"41d45' 16""N","71d26' 47""W",41.754444444444445,-71.44638888888889
South Carolina,34° 01′ 58″,81° 01′ 38″,"34d01' 58""N","81d01' 38""W",34.032777777777774,-81.02722222222222
South Dakota,44° 05′ 17″,99° 05′ 33″,"44d05' 17""N","99d05' 33""W",44.088055555555556,-99.0925
Tennessee,35° 47′ 00″,86° 25′ 52″,"35d47' 00""N","86d25' 52""W",35.78333333333333,-86.43111111111112
Texas,30° 58′ 52″,97° 26′ 31″,"30d58' 52""N","97d26' 31""W",30.981111111111108,-97.44194444444445
Utah,40° 29′ 29″,111° 51′ 51″,"40d29' 29""N","111d51' 51""W",40.49138888888889,-111.86416666666666
Vermont,44° 03′ 53″,72° 48′ 39″,"44d03' 53""N","72d48' 39""W",44.06472222222222,-72.81083333333333
Virginia,37° 41′ 53″,77° 52′ 28″,"37d41' 53""N","77d52' 28""W",37.698055555555555,-77.87444444444444
Washington,47° 21′ 09″,121° 36′ 46″,"47d21' 09""N","121d36' 46""W",47.3525,-121.61277777777777
West Virginia,38° 44′ 46″,80° 52′ 41″,"38d44' 46""N","80d52' 41""W",38.74611111111111,-80.87805555555555
Wisconsin,43° 43′ 16″,88° 58′ 59″,"43d43' 16""N","88d58' 59""W",43.721111111111114,-88.98305555555555
Wyoming,42° 38′ 13″,106° 58′ 46″,"42d38' 13""N","106d58' 46""W",42.636944444444445,-106.97944444444444
