state,n_lat_m_s,w_lon_m_s,lat,lon,lat_dec,lon_dec
Alabama,32° 59′ 28″,86° 46′ 39″,"32d59' 28""N","86d46' 39""W",32.99111111111111,-86.7775
Alaska,61° 08′ 24″,148° 58′ 47″,"61d08' 24""N","148d58' 47""W",61.14,-148.97972222222222
Arizona,33° 17′ 09″,111° 41′ 15″,"33d17' 09""N","111d41' 15""W",33.28583333333333,-111.6875
Arkansas,34° 54′ 52″,92° 21′ 05″,"34d54' 52""N","92d21' 05""W",34.91444444444444,-92.35138888888888
California,35° 28′ 03″,119° 28′ 31″,"35d28' 03""N","119d28' 31""W",35.4675,-119.47527777777778
Colorado,39° 26′ 37″,105° 07′ 36″,"39d26' 37""N","105d07' 36""W",39.44361111111111,-105.12666666666667
Connecticut,41° 29′ 17″,72° 52′ 38″,"41d29' 17""N","72d52' 38""W",41.488055555555555,-72.87722222222222
Delaware,39° 28′ 44″,75° 33′ 33″,"39d28' 44""N","75d33' 33""W",39.47888888888889,-75.55916666666667
District of Columbia,38° 54′ 22″,77° 00′ 29″,"38d54' 22""N","77d00' 29""W",38.90611111111111,-77.00805555555556
Florida,27° 51′ 49″,81° 43′ 32″,"27d51' 49""N","81d43' 32""W",27.863611111111112,-81.72555555555556
Georgia,33° 08′ 52″,83° 48′ 13″,"33d08' 52""N","83d48' 13""W",33.147777777777776,-83.80361111111111
Hawaii,21° 13′ 38″,157° 39′ 20″,"21d13' 38""N","157d39' 20""W",21.22722222222222,-157.65555555555557
Idaho,44° 12′ 00″,114° 49′ 57″,"44d12' 00""N","114d49' 57""W",44.2,-114.8325
Illinois,41° 13′ 03″,88° 23′ 12″,"41d13' 03""N","88d23' 12""W",41.2175,-88.38666666666667
Indiana,40° 11′ 48″,86° 17′ 30″,"40d11' 48""N","86d17' 30""W",40.196666666666665,-86.29166666666667
Iowa,41° 59′ 46″,93° 05′ 14″,"41d59' 46""N","93d05' 14""W",41.99611111111111,-93.08722222222222
Kansas,38° 27′ 39″,96° 39′ 46″,"38d27' 39""N","96d39' 46""W",38.46083333333333,-96.66277777777778
Kentucky,37° 48′ 54″,85° 16′ 57″,"37d48' 54""N","85d16' 57""W",37.815,-85.2825
Louisiana,30° 43′ 44″,91° 28′ 41″,"30d43' 44""N","91d28' 41""W",30.728888888888886,-91.47805555555556
Maine,44° 26′ 57″,69° 37′ 20″,"44d26' 57""N","69d37' 20""W",44.44916666666666,-69.62222222222222
Maryland,39° 09′ 51″,76° 47′ 11″,"39d09' 51""N","76d47' 11""W",39.16416666666667,-76.7863888888889
Massachusetts,42° 17′ 26″,71° 23′ 40″,"42d17' 26""N","71d23' 40""W",42.29055555555556,-71.39444444444445
Michigan,42° 48′ 21″,84° 02′ 58″,"42d48' 21""N","84d02' 58""W",42.80583333333333,-84.04944444444445
Minnesota,45° 14′ 12″,93° 39′ 01″,"45d14' 12""N","93d39' 01""W",45.236666666666665,-93.65027777777779
Mississippi,32° 36′ 57″,89° 39′ 18″,"32d36' 57""N","89d39' 18""W",32.615833333333335,-89.655
Missouri,38° 31′ 27″,92° 01′ 36″,"38d31' 27""N","92d01' 36""W",38.524166666666666,-92.02666666666667
Montana,46° 53′ 52″,110° 49′ 30″,"46d53' 52""N","110d49' 30""W",46.897777777777776,-110.825
Nebraska,41° 11′ 49″,97° 32′ 49″,"41d11' 49""N","97d32' 49""W",41.19694444444444,-97.54694444444445
Nevada,37° 38′ 16″,116° 45′ 08″,"37d38' 16""N","116d45' 08""W",37.63777777777778,-116.75222222222222
New Hampshire,43° 11′ 35″,71° 28′ 45″,"43d11' 35""N","71d28' 45""W",43.19305555555555,-71.47916666666667
New Jersey,40° 29′ 45″,74° 24′ 04″,"40d29' 45""N","74d24' 04""W",40.49583333333334,-74.40111111111112
New Mexico,34° 34′ 45″,106° 06′ 53″,"34d34' 45""N","106d06' 53""W",34.57916666666667,-106.11472222222221
New York,41° 30′ 49″,74° 43′ 02″,"41d30' 49""N","74d43' 02""W",41.51361111111111,-74.71722222222222
North Carolina,35° 34′ 28″,79° 40′ 12″,"35d34' 28""N","79d40' 12""W",35.574444444444445,-79.67
North Dakota,47° 27′ 48″,99° 30′ 57″,"47d27' 48""N","99d30' 57""W",47.46333333333334,-99.51583333333333
Ohio,40° 32′ 42″,82° 40′ 45″,"40d32' 42""N","82d40' 45""W",40.544999999999995,-82.67916666666667
Oklahoma,35° 35′ 02″,96° 56′ 20″,"35d35' 02""N","96d56' 20""W",35.58388888888889,-96.9388888888889
Oregon,44° 44′ 33″,122° 33′ 10″,"44d44' 33""N","122d33' 10""W",44.7425,-122.55277777777778
Pennsylvania,40° 27′ 17″,77° 11′ 59″,"40d27' 17""N","77d11' 59""W",40.45472222222222,-77.19972222222222
Rhode Island,41° 45′ 39″,71° 26′ 02″,"41d45' 39""N","71d26' 02""W",41.76083333333333,-71.43388888888889
South Carolina,34° 03′ 35″,81° 02′ 55″,"34d03' 35""N","81d02' 55""W",34.05972222222222,-81.04861111111111
South Dakota,44° 08′ 29″,98° 57′ 55″,"44d08' 29""N","98d57' 55""W",44.14138888888889,-98.96527777777779
Tennessee,35° 45′ 45″,86° 30′ 06″,"35d45' 45""N","86d30' 06""W",35.7625,-86.50166666666667
Texas,31° 04′ 52″,97° 31′ 30″,"31d04' 52""N","97d31' 30""W",31.08111111111111,-97.525
Utah,40° 33′ 51″,111° 49′ 43″,"40d33' 51""N","111d49' 43""W",40.564166666666665,-111.8286111111111
Vermont,44° 02′ 45″,72° 48′ 24″,"44d02' 45""N","72d48' 24""W",44.045833333333334,-72.80666666666666
Virginia,37° 36′ 20″,77° 58′ 35″,"37d36' 20""N","77d58' 35""W",37.605555555555554,-77.97638888888889
Washington,47° 21′ 10″,121° 31′ 57″,"47d21' 10""N","121d31' 57""W",47.35277777777778,-121.5325
West Virginia,38° 43′ 44″,80° 58′ 42″,"38d43' 44""N","80d58' 42""W",38.72888888888889,-80.97833333333334
Wisconsin,43° 40′ 56″,88° 55′ 04″,"43d40' 56""N","88d55' 04""W",43.68222222222222,-88.91777777777779
Wyoming,42° 40′ 09″,106° 46′ 59″,"42d40' 09""N","106d46' 59""W",42.66916666666666,-106.78305555555555
