State,North Latitude,West Longitude
Alabama,32° 59′ 32″,86° 46′ 30″
Alaska,61° 22′ 11″,148° 29′ 07″
Arizona,33° 19′ 29″,111° 43′ 06″
Arkansas,34° 58′ 18″,92° 26′ 03″
California,35° 28′ 29″,119° 26′ 17″
Colorado,39° 29′ 11″,105° 10′ 52″
Connecticut,41° 29′ 26″,72° 52′ 34″
Delaware,39° 26′ 42″,75° 33′ 49″
District of Columbia,38° 54′ 27″,77° 00′ 32″
Florida,27° 47′ 41″,81° 40′ 25″
Georgia,33° 11′ 12″,83° 48′ 36″
Hawaii,21° 12′ 04″,157° 36′ 45″
Idaho,44° 12′ 26″,114° 56′ 09″
Illinois,41° 12′ 27″,88° 24′ 25″
Indiana,40° 10′ 33″,86° 17′ 01″
Iowa,41° 59′ 10″,93° 03′ 30″
Kansas,38° 27′ 16″,96° 38′ 17″
Kentucky,37° 47′ 31″,85° 13′ 22″
Louisiana,30° 43′ 04″,91° 27′ 56″
Maine,44° 24′ 44″,69° 38′ 27″
Maryland,39° 09′ 35″,76° 47′ 25″
Massachusetts,42° 16′ 45″,71° 23′ 04″
Michigan,42° 50′ 28″,84° 06′ 30″
Minnesota,45° 15′ 16″,93° 38′ 56″
Mississippi,32° 34′ 41″,89° 37′ 27″
Missouri,38° 28′ 54″,92° 04′ 48″
Montana,46° 51′ 39″,110° 54′ 55″
Nebraska,41° 11′ 57″,97° 34′ 11″
Nevada,37° 33′ 10″,116° 45′ 24″
New Hampshire,43° 10′ 43″,71° 28′ 25″
New Jersey,40° 27′ 50″,74° 25′ 02″
New Mexico,34° 37′ 12″,106° 14′ 19″
New York,41° 32′ 45″,74° 43′ 06″
North Carolina,35° 34′ 03″,79° 40′ 33″
North Dakota,47° 25′ 40″,99° 30′ 38″
Ohio,40° 31′ 12″,82° 42′ 02″
Oklahoma,35° 35′ 17″,96° 53′ 15″
Oregon,44° 41′ 39″,122° 33′ 53″
Pennsylvania,40° 28′ 12″,77° 12′ 09″
Rhode Island,41° 45′ 34″,71° 26′ 31″
South Carolina,34° 02′ 50″,81° 02′ 08″
South Dakota,44° 06′ 42″,99° 03′ 23″
Tennessee,35° 46′ 46″,86° 25′ 18″
Texas,30° 59′ 33″,97° 27′ 25″
Utah,40° 30′ 59″,111° 49′ 33″
Vermont,44° 03′ 24″,72° 48′ 21″
Virginia,37° 38′ 19″,78° 00′ 03″
Washington,47° 20′ 11″,121° 31′ 57″
West Virginia,38° 43′ 13″,80° 56′ 27″
Wisconsin,43° 43′ 09″,88° 58′ 32″
Wyoming,42° 39′ 24″,106° 56′ 05″
