state,n_lat_m_s,w_lon_m_s,lat,lon,lat_dec,lon_dec
Alabama,33° 00′ 05″,86° 45′ 58″,"33d00' 05""N","86d45' 58""W",33.00138888888889,-86.76611111111112
Alaska,61° 17′ 18″,148° 43′ 01″,"61d17' 18""N","148d43' 01""W",61.288333333333334,-148.71694444444444
Arizona,33° 22′ 25″,111° 49′ 43″,"33d22' 25""N","111d49' 43""W",33.37361111111111,-111.8286111111111
Arkansas,35° 04′ 49″,92° 34′ 37″,"35d04' 49""N","92d34' 37""W",35.08027777777778,-92.57694444444444
California,35° 27′ 31″,119° 21′ 19″,"35d27' 31""N","119d21' 19""W",35.45861111111111,-119.35527777777777
Colorado,39° 30′ 02″,105° 12′ 13″,"39d30' 02""N","105d12' 13""W",39.50055555555556,-105.20361111111112
Connecticut,41° 29′ 41″,72° 52′ 28″,"41d29' 41""N","72d52' 28""W",41.49472222222222,-72.87444444444444
Delaware,39° 23′ 50″,75° 33′ 43″,"39d23' 50""N","75d33' 43""W",39.39722222222222,-75.56194444444444
District of Columbia,38° 54′ 36″,77° 00′ 50″,"38d54' 36""N","77d00' 50""W",38.91,-77.01388888888889
Florida,27° 47′ 45″,81° 38′ 05″,"27d47' 45""N","81d38' 05""W",27.795833333333334,-81.63472222222222
Georgia,33° 19′ 56″,83° 52′ 08″,"33d19' 56""N","83d52' 08""W",33.33222222222223,-83.86888888888888
Hawaii,21° 08′ 48″,157° 31′ 28″,"21d08' 48""N","157d31' 28""W",21.146666666666665,-157.52444444444447
Idaho,44° 14′ 33″,115° 07′ 60″,"44d14' 33""N","115d07' 60""W",44.2425,-115.13333333333333
Illinois,41° 16′ 42″,88° 22′ 49″,"41d16' 42""N","88d22' 49""W",41.27833333333333,-88.38027777777778
Indiana,40° 09′ 50″,86° 15′ 41″,"40d09' 50""N","86d15' 41""W",40.163888888888884,-86.26138888888889
Iowa,41° 57′ 37″,93° 02′ 57″,"41d57' 37""N","93d02' 57""W",41.96027777777778,-93.04916666666666
Kansas,38° 27′ 15″,96° 32′ 10″,"38d27' 15""N","96d32' 10""W",38.45416666666667,-96.53611111111111
Kentucky,37° 48′ 29″,85° 14′ 31″,"37d48' 29""N","85d14' 31""W",37.808055555555555,-85.24194444444444
Louisiana,30° 41′ 57″,91° 27′ 26″,"30d41' 57""N","91d27' 26""W",30.699166666666667,-91.45722222222223
Maine,44° 18′ 49″,69° 43′ 12″,"44d18' 49""N","69d43' 12""W",44.31361111111111,-69.72
Maryland,39° 08′ 44″,76° 47′ 51″,"39d08' 44""N","76d47' 51""W",39.14555555555555,-76.7975
Massachusetts,42° 16′ 19″,71° 21′ 49″,"42d16' 19""N","71d21' 49""W",42.27194444444444,-71.36361111111111
Michigan,42° 51′ 59″,84° 10′ 15″,"42d51' 59""N","84d10' 15""W",42.86638888888889,-84.17083333333333
Minnesota,45° 12′ 39″,93° 34′ 59″,"45d12' 39""N","93d34' 59""W",45.21083333333333,-93.58305555555555
Mississippi,32° 33′ 59″,89° 35′ 35″,"32d33' 59""N","89d35' 35""W",32.56638888888889,-89.59305555555555
Missouri,38° 26′ 16″,92° 09′ 14″,"38d26' 16""N","92d09' 14""W",38.437777777777775,-92.1538888888889
Montana,46° 48′ 48″,111° 12′ 35″,"46d48' 48""N","111d12' 35""W",46.81333333333333,-111.20972222222223
Nebraska,41° 11′ 02″,97° 24′ 14″,"41d11' 02""N","97d24' 14""W",41.18388888888889,-97.4038888888889
Nevada,37° 09′ 57″,116° 18′ 17″,"37d09' 57""N","116d18' 17""W",37.16583333333333,-116.30472222222222
New Hampshire,43° 09′ 11″,71° 27′ 48″,"43d09' 11""N","71d27' 48""W",43.153055555555554,-71.46333333333334
New Jersey,40° 26′ 18″,74° 25′ 41″,"40d26' 18""N","74d25' 41""W",40.43833333333333,-74.42805555555556
New Mexico,34° 37′ 23″,106° 20′ 32″,"34d37' 23""N","106d20' 32""W",34.62305555555555,-106.34222222222222
New York,41° 30′ 27″,74° 38′ 43″,"41d30' 27""N","74d38' 43""W",41.5075,-74.64527777777778
North Carolina,35° 33′ 12″,79° 40′ 04″,"35d33' 12""N","79d40' 04""W",35.55333333333333,-79.66777777777779
North Dakota,47° 22′ 31″,99° 20′ 05″,"47d22' 31""N","99d20' 05""W",47.375277777777775,-99.33472222222221
Ohio,40° 28′ 51″,82° 44′ 58″,"40d28' 51""N","82d44' 58""W",40.48083333333334,-82.74944444444445
Oklahoma,35° 35′ 53″,96° 50′ 05″,"35d35' 53""N","96d50' 05""W",35.59805555555556,-96.83472222222221
Oregon,44° 43′ 56″,122° 34′ 46″,"44d43' 56""N","122d34' 46""W",44.73222222222223,-122.57944444444443
Pennsylvania,40° 27′ 49″,77° 04′ 33″,"40d27' 49""N","77d04' 33""W",40.46361111111111,-77.07583333333334
Rhode Island,41° 45′ 12″,71° 26′ 56″,"41d45' 12""N","71d26' 56""W",41.75333333333333,-71.44888888888889
South Carolina,34° 02′ 04″,81° 01′ 57″,"34d02' 04""N","81d01' 57""W",34.03444444444444,-81.0325
South Dakota,44° 02′ 51″,99° 02′ 38″,"44d02' 51""N","99d02' 38""W",44.0475,-99.04388888888889
Tennessee,35° 47′ 45″,86° 23′ 52″,"35d47' 45""N","86d23' 52""W",35.795833333333334,-86.39777777777779
Texas,30° 56′ 35″,97° 23′ 19″,"30d56' 35""N","97d23' 19""W",30.943055555555556,-97.38861111111112
Utah,40° 26′ 20″,111° 54′ 01″,"40d26' 20""N","111d54' 01""W",40.43888888888888,-111.90027777777779
Vermont,44° 04′ 52″,72° 48′ 52″,"44d04' 52""N","72d48' 52""W",44.08111111111111,-72.81444444444445
Virginia,37° 45′ 01″,77° 50′ 09″,"37d45' 01""N","77d50' 09""W",37.750277777777775,-77.83583333333333
Washington,47° 20′ 30″,121° 37′ 28″,"47d20' 30""N","121d37' 28""W",47.34166666666667,-121.62444444444444
West Virginia,38° 46′ 02″,80° 49′ 13″,"38d46' 02""N","80d49' 13""W",38.76722222222222,-80.82027777777778
Wisconsin,43° 43′ 43″,89° 00′ 04″,"43d43' 43""N","89d00' 04""W",43.728611111111114,-89.00111111111111
Wyoming,42° 40′ 33″,107° 00′ 32″,"42d40' 33""N","107d00' 32""W",42.67583333333333,-107.00888888888889
